2026-08-10 05:14:53,697 | 41702 | 4613633536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492433267534364893(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x10c34fa30>
2026-08-10 12:25:27,884 | 50770 | 4660352512 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492541623846258092(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x11fccc520>
2026-08-10 14:16:31,242 | 53019 | 4376536576 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492569572128807073(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x1198a0520>
[US.TSLA] snapshot saved: 2144 contracts -> US_TSLA_2026-08-10.csv
[US.NVDA] snapshot saved: 1236 contracts -> US_NVDA_2026-08-10.csv
watching 24 contracts, polling every 30s. Ctrl-C to stop.

loaded 9925 previously-seen ticks from disk
15:36:35  new ticks: 88  (cumulative unique: 23353)
15:37:09  new ticks: 104  (cumulative unique: 23457)
15:37:43  new ticks: 115  (cumulative unique: 23572)
15:38:18  new ticks: 125  (cumulative unique: 23697)
15:38:52  new ticks: 128  (cumulative unique: 23825)
15:39:27  new ticks: 98  (cumulative unique: 23923)
15:40:01  new ticks: 60  (cumulative unique: 23983)
15:40:35  new ticks: 73  (cumulative unique: 24056)
15:41:09  new ticks: 113  (cumulative unique: 24169)
15:41:43  new ticks: 101  (cumulative unique: 24270)
15:42:17  new ticks: 79  (cumulative unique: 24349)
15:42:52  new ticks: 50  (cumulative unique: 24399)
15:43:26  new ticks: 56  (cumulative unique: 24455)
15:44:01  new ticks: 69  (cumulative unique: 24524)
15:44:35  new ticks: 62  (cumulative unique: 24586)
15:45:09  new ticks: 47  (cumulative unique: 24633)
15:45:43  new ticks: 61  (cumulative unique: 24694)
15:46:17  new ticks: 119  (cumulative unique: 24813)
15:46:51  new ticks: 82  (cumulative unique: 24895)
15:47:26  new ticks: 80  (cumulative unique: 24975)
15:48:00  new ticks: 66  (cumulative unique: 25041)
15:48:35  new ticks: 79  (cumulative unique: 25120)
15:49:09  new ticks: 74  (cumulative unique: 25194)
15:49:43  new ticks: 83  (cumulative unique: 25277)
15:50:17  new ticks: 90  (cumulative unique: 25367)
15:50:51  new ticks: 76  (cumulative unique: 25443)
15:51:25  new ticks: 52  (cumulative unique: 25495)
15:51:59  new ticks: 74  (cumulative unique: 25569)
15:52:33  new ticks: 70  (cumulative unique: 25639)
15:53:07  new ticks: 47  (cumulative unique: 25686)
15:53:42  new ticks: 84  (cumulative unique: 25770)
15:54:16  new ticks: 114  (cumulative unique: 25884)
15:54:51  new ticks: 104  (cumulative unique: 25988)
15:55:25  new ticks: 100  (cumulative unique: 26088)
15:55:59  new ticks: 83  (cumulative unique: 26171)
15:56:33  new ticks: 96  (cumulative unique: 26267)
15:57:07  new ticks: 65  (cumulative unique: 26332)
15:57:41  new ticks: 143  (cumulative unique: 26475)
15:58:15  new ticks: 54  (cumulative unique: 26529)
15:58:49  new ticks: 83  (cumulative unique: 26612)
15:59:23  new ticks: 66  (cumulative unique: 26678)
15:59:58  new ticks: 121  (cumulative unique: 26799)
16:00:32  new ticks: 114  (cumulative unique: 26913)
16:01:07  new ticks: 85  (cumulative unique: 26998)
16:01:41  new ticks: 77  (cumulative unique: 27075)
16:02:15  new ticks: 90  (cumulative unique: 27165)
16:02:51  new ticks: 74  (cumulative unique: 27239)
16:03:25  new ticks: 67  (cumulative unique: 27306)
16:03:59  new ticks: 63  (cumulative unique: 27369)
16:04:34  new ticks: 63  (cumulative unique: 27432)
16:05:08  new ticks: 86  (cumulative unique: 27518)
16:05:42  new ticks: 63  (cumulative unique: 27581)
16:06:17  new ticks: 68  (cumulative unique: 27649)
16:06:51  new ticks: 91  (cumulative unique: 27740)
16:07:25  new ticks: 71  (cumulative unique: 27811)
16:08:00  new ticks: 61  (cumulative unique: 27872)
16:08:34  new ticks: 59  (cumulative unique: 27931)
16:09:08  new ticks: 77  (cumulative unique: 28008)
16:09:43  new ticks: 54  (cumulative unique: 28062)
16:10:17  new ticks: 75  (cumulative unique: 28137)
16:10:52  new ticks: 66  (cumulative unique: 28203)
16:11:26  new ticks: 60  (cumulative unique: 28263)
16:12:00  new ticks: 84  (cumulative unique: 28347)
16:12:35  new ticks: 88  (cumulative unique: 28435)
16:13:09  new ticks: 96  (cumulative unique: 28531)
16:13:43  new ticks: 79  (cumulative unique: 28610)
16:14:18  new ticks: 72  (cumulative unique: 28682)
16:14:52  new ticks: 62  (cumulative unique: 28744)
16:15:28  new ticks: 71  (cumulative unique: 28815)
16:16:02  new ticks: 68  (cumulative unique: 28883)
16:16:36  new ticks: 66  (cumulative unique: 28949)
16:17:11  new ticks: 48  (cumulative unique: 28997)
16:17:45  new ticks: 54  (cumulative unique: 29051)
16:18:21  new ticks: 62  (cumulative unique: 29113)
16:18:55  new ticks: 118  (cumulative unique: 29231)
16:19:29  new ticks: 59  (cumulative unique: 29290)
16:20:04  new ticks: 52  (cumulative unique: 29342)
16:20:38  new ticks: 72  (cumulative unique: 29414)
16:21:13  new ticks: 51  (cumulative unique: 29465)
16:21:47  new ticks: 40  (cumulative unique: 29505)
16:22:21  new ticks: 63  (cumulative unique: 29568)
16:22:56  new ticks: 57  (cumulative unique: 29625)
16:23:30  new ticks: 65  (cumulative unique: 29690)
16:24:05  new ticks: 46  (cumulative unique: 29736)
16:24:39  new ticks: 48  (cumulative unique: 29784)
16:25:13  new ticks: 44  (cumulative unique: 29828)
16:25:48  new ticks: 45  (cumulative unique: 29873)
16:26:22  new ticks: 52  (cumulative unique: 29925)
16:26:56  new ticks: 69  (cumulative unique: 29994)
16:27:31  new ticks: 51  (cumulative unique: 30045)
